Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
04/04/2022,HLAL,ILMN,452327109,ILLUMINA INC,1718,363.9,625180.2,0.36%,174887160,4200000,168,
04/04/2022,HLAL,INTC,458140100,INTEL CORP,47604,48.11,2290228.44,1.31%,174887160,4200000,168,
04/04/2022,HLAL,IP,460146103,INTERNATIONAL PAPER CO,4552,46.3,210757.6,0.12%,174887160,4200000,168,
04/04/2022,HLAL,IPG,460690100,INTERPUBLIC GROUP COS INC,4611,35.46,163506.06,0.09%,174887160,4200000,168,
04/04/2022,HLAL,IR,45687V106,INGERSOLL RAND INC,4628,50.25,232557,0.13%,174887160,4200000,168,
04/04/2022,HLAL,ISRG,46120E602,INTUITIVE SURGICAL INC,4172,305.54,1274712.88,0.73%,174887160,4200000,168,
04/04/2022,HLAL,IT,366651107,GARTNER INC,941,299.46,281791.86,0.16%,174887160,4200000,168,
04/04/2022,HLAL,JBHT,445658107,HUNT J B TRANS SVCS INC,989,181.51,179513.39,0.10%,174887160,4200000,168,
04/04/2022,HLAL,JCI,G51502105,JOHNSON CTLS INTL PLC,8261,66.49,549273.89,0.31%,174887160,4200000,168,
04/04/2022,HLAL,JKHY,426281101,HENRY JACK & ASSOC INC,852,200.42,170757.84,0.10%,174887160,4200000,168,
04/04/2022,HLAL,JNJ,478160104,JOHNSON & JOHNSON,31031,178.19,5529413.89,3.16%,174887160,4200000,168,
04/04/2022,HLAL,JNPR,48203R104,JUNIPER NETWORKS INC,3758,36.83,138407.14,0.08%,174887160,4200000,168,
04/04/2022,HLAL,KD,50155Q100,KYNDRYL HLDGS INC,2637,13.26,34966.62,0.02%,174887160,4200000,168,
